"","Center.of.Mass.X...m.","Center.of.Mass.Y...m.","Area...m2.","Perimeter...m.","Circularity","PanEV","EpCAM","MET","SDC1","EGFR","ADAM10","CTSH","PDL1","HER2","image","celltype"
"1",67.11675262,41.347332,32,21.3137085,0.885200802,7719.214355,438.6666565,58.97618866,102.7619019,125.8095245,74.35713959,80.80952454,95,209.8571472,1,"A549"
"2",62.2753334,20.6827507,32,21.3137085,0.885200802,7643.619141,715.2857056,70.69047546,155.8095245,171.8571472,169.3571472,130.9761963,173.9047546,53,1,"A549"
"3",36.05175018,77.73607635,31,21.65685425,0.83057874,7374.119141,359.5476074,55.19047546,163.5238037,138.7619019,82.33333588,84.2142868,99.76190186,268.4047546,1,"A549"
"4",31.28981209,11.22018719,24,19.3137085,0.808518127,6593.121094,96.21212006,44.66666794,49.60606003,60.84848404,72.36363983,43.81818008,79.36363983,65.51515198,1,"A549"
"5",40.30274963,22.49292946,16,15.65685425,0.82020201,6440.375,395.625,43.875,91.25,104.6666641,60.66666794,95.375,95.04166412,156.75,1,"A549"
"6",78.18803406,56.65274811,15,14.82842712,0.85725682,7437.826172,844.2608643,30.39130402,27.91304398,56.78260803,39,48.34782791,77.86956787,73.26087189,1,"A549"
"7",37.96344376,3.817096233,16.5,15.07106781,0.912863327,5603.708496,447.4583435,48.04166794,120.9583359,130.625,75.70833588,97.33333588,123.3333359,63.5,1,"A549"
"8",61.75971985,22.9428978,26.5,19.89949494,0.840952818,8418.833008,147.0833282,33.05555725,84.1388855,66.33333588,42.13888931,56.63888931,82.19444275,120.3055573,1,"A549"
"9",22.56299973,58.71693802,25,18.48528137,0.919385694,7929.853027,453.5,31.47058868,119.0588226,118.2647095,51.76470566,82.76470947,89.52941132,95.5,1,"A549"
"10",59.4707222,23.40454483,25.5,19.07106781,0.881048921,8860.799805,269.4857178,42.48571396,83.51428223,89.45714569,29.65714264,78.80000305,117.5999985,139.1142883,1,"A549"
"11",18.69189644,59.14371872,28.5,19.89949494,0.904420955,6123.105469,123.078949,70.21052551,443.8947449,57.5263176,64.89473724,67.39473724,65.68421173,161.4736786,1,"A549"
"12",26.11598015,61.04209518,15.5,15.07106781,0.857538277,5165.130371,117.2608719,29.347826,51.47826004,62.39130402,39.65217209,28.82608604,65.95652008,56.43478394,1,"A549"
"13",20.09882164,63.37960815,19,16.48528137,0.878558605,6138.111328,745.222229,34.77777863,142.2592621,138.3333282,67.92592621,86.77777863,119.9629593,101.2962952,1,"A549"
"14",42.67350006,64.09200287,23,17.65685425,0.927066816,7150.25,303.53125,44.875,68.46875,128.34375,71.96875,77.25,80.53125,380.15625,1,"A549"
"15",46.79972458,66.66927338,30.5,21.89949494,0.799174293,6987.804688,745.9024658,63,140.7073212,161.5609741,77.95121765,110.1707306,114.8048782,266.512207,1,"A549"
"16",80.14225006,5.270150185,20.5,17.07106781,0.883979819,6125,1062.379272,68.75862122,110.103447,210.4482727,87.37931061,98.34482574,147,252.7586212,1,"A549"
"17",71.44950104,69.56925201,22,17.3137085,0.922257811,6603.399902,303.2666626,47.33333206,71.8666687,117.2333298,91.8666687,86.33333588,123.1666641,157.2333374,1,"A549"
"18",59.3621788,69.8144989,19,16.48528137,0.878558605,6538.111328,553.0370483,34.9629631,85.62963104,117.4074097,40.70370483,64.85185242,103.6666641,201.5925903,1,"A549"
"19",18.09010696,26.65049934,20,16.48528137,0.924798531,5893.5,621,45.1071434,122.1428604,139.75,72.2142868,85.14286041,161.7857208,186.5,1,"A549"
"20",42.86425018,70.01615143,20.5,17.07106781,0.883979819,6944.551758,83.96551514,30.06896591,75.41379547,76.72413635,32.27586365,67.9310379,68.82758331,135.9655151,1,"A549"
"21",29.02124977,7.357500076,18,15.65685425,0.922727261,5257.922852,204.4615326,58.03845978,98.57691956,69.11538696,50.73077011,40.80769348,53.96154022,58.34615326,1,"A549"
