CD63,PanEV,EpCAM,CD9,SDC1,EGFR,PDL1,MET,CD81,HER2,ADAM10,CTSH
0,34.56603622,0,118.1320724,33,45.83018875,81.86792755,62.84905624,73.03773499,133.320755,71.62264252,72.01886749
57.84615326,436.9230652,0,600.8461304,71.61538696,211.8076935,204.615387,55.23077011,53.69230652,117.8076935,53,59
55.48387146,1340.161255,0,0,0,0,0,0,0,0,36.83871078,0
0,262.8571472,0,0,0,0,0,0,0,0,34.8571434,0
0,530.25,0,32.33333206,38.29166794,0,0,38.33333206,0,32.33333206,53.79166794,0
43.39473724,67.55263519,0,53,0,0,41.0263176,0,0,0,96.18421173,0
0,315.5263062,0,38.28947449,0,0,33.81578827,0,0,0,0,0
37.2857132,414.8928528,0,49.8928566,0,0,51.5357132,51.6071434,0,0,48,0
47.53845978,42.73077011,0,34.42307663,0,0,0,0,0,0,32.11538315,0
0,301.4482727,0,0,0,0,0,34.06896591,0,0,32,0
44.09523773,50.23809433,0,45.52381134,0,0,48.1428566,39.19047546,0,34.09523773,0,0
0,40.1428566,0,0,0,0,0,52.3571434,123.2142868,0,32.92856979,0
0,398.0384521,0,54.53845978,0,43.53845978,62.88461685,36.42307663,57.42307663,35.69230652,49.15384674,0
0,355.9615479,0,0,0,0,0,0,0,0,54.80769348,0
38,34.26922989,0,36.61538315,0,40.42307663,38.23077011,0,0,32.80769348,37.19230652,32.73077011
35.84615326,704.5,0,119.5384598,38.38461685,64.57691956,94.96154022,61.96154022,55.34615326,82.5,57.19230652,43.30769348
0,244.6923065,0,0,0,0,0,0,0,0,32.61538315,0
0,210.6538391,0,41.5,0,0,37.88461685,0,0,0,36.07692337,0
0,391.0357056,0,63.75,0,34.2857132,54.2142868,0,0,57.4642868,31.5357151,37.75
0,90.61538696,0,50.53845978,0,0,70.15384674,0,0,39.84615326,0,0
0,379.4782715,0,75.30434418,38.17391205,0,70,42.95652008,37.95652008,41.82608795,40,0
0,378.7999878,0,40.31999969,0,0,0,31.71999931,0,0,32.84000015,0
0,529.3030396,0,0,0,0,0,51.60606003,0,0,0,0
0,339.9599915,0,0,0,0,0,45.36000061,0,0,42.08000183,0
0,624,0,33.85185242,41.59259415,0,0,34.37036896,0,0,47.74074173,0
0,483.241394,0,44.37931061,0,0,36.96551895,0,0,0,39.65517426,0
0,38.8571434,0,196.9642792,0,68.0357132,110.4642868,36.3571434,44.7857132,124.1071396,41.4642868,40.17856979
37.36363602,199.9393921,0,87.1818161,31.78787804,0,68.33333588,55.96969604,0,37.78787994,37.45454407,0
45.65517426,81.75862122,0,54.3103447,0,0,0,0,0,34.62068939,0,0
0,58.17856979,0,0,94.25,0,0,179.5,0,0,123.0714264,0
0,318.9583435,0,0,0,0,0,34.95833206,0,0,56.25,0
0,279.0909119,0,47.54545593,0,0,0,0,0,0,0,0
0,417.6071472,0,0,32.6071434,0,0,0,0,0,0,0
